timestamp,source_id,source_name,predicted_best_id,predicted_best_name,true_best_id,true_best_name,match,mutation_count,mutation_rate,n_ants,n_iterations,alpha,beta,rho
2026-06-29T19:02:24,3,node-us-west-01,3,node-us-west-01,1,node-us-east-01,0,25,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,4,node-eu-west-01,4,node-eu-west-01,3,node-us-west-01,0,23,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,2,node-us-east-02,2,node-us-east-02,3,node-us-west-01,0,10,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,4,node-eu-west-01,4,node-eu-west-01,3,node-us-west-01,0,32,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,6,node-ap-south-01,6,node-ap-south-01,3,node-us-west-01,0,26,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,7,node-ap-se-01,8,node-ap-se-02,3,node-us-west-01,0,20,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,6,node-ap-south-01,6,node-ap-south-01,3,node-us-west-01,0,33,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,6,node-ap-south-01,6,node-ap-south-01,3,node-us-west-01,0,26,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,8,node-ap-se-02,8,node-ap-se-02,5,node-eu-west-02,0,17,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,7,node-ap-se-01,7,node-ap-se-01,3,node-us-west-01,0,17,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,4,node-eu-west-01,4,node-eu-west-01,3,node-us-west-01,0,37,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,4,node-eu-west-01,4,node-eu-west-01,3,node-us-west-01,0,30,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,5,node-eu-west-02,5,node-eu-west-02,3,node-us-west-01,0,13,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,5,node-eu-west-02,5,node-eu-west-02,3,node-us-west-01,0,16,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,5,node-eu-west-02,5,node-eu-west-02,3,node-us-west-01,0,16,0.05,20,50,1.0,2.5,0.3
2026-06-29T19:02:24,3,node-us-west-01,3,node-us-west-01,1,node-us-east-01,0,16,0.05,20,50,1.0,2.5,0.3
